Dyad,Condition,Role,Node,Strength
dyad11,elicit,baby,S1,6.745
dyad11,elicit,baby,S2,7.852
dyad11,elicit,baby,S3,7.21
dyad11,elicit,baby,S4,6.078
dyad11,elicit,baby,S5,10.129
dyad11,elicit,baby,S6,7.982
dyad11,elicit,baby,S7,8.943
dyad11,elicit,baby,S8,5.846
dyad11,elicit,baby,S9,8.956
dyad11,elicit,baby,S10,8.059
dyad11,elicit,baby,S11,9.579
dyad11,elicit,baby,S12,9.176
dyad11,elicit,baby,S13,7.257
dyad11,elicit,baby,S14,9.886
dyad11,elicit,baby,S15,8.72
dyad11,elicit,baby,S16,4.835
dyad11,elicit,baby,S17,7.567
dyad11,elicit,baby,S18,8.738
dyad11,elicit,perant,S1,10.258
dyad11,elicit,perant,S2,7.508
dyad11,elicit,perant,S3,6.163
dyad11,elicit,perant,S4,8.896
dyad11,elicit,perant,S5,7.099
dyad11,elicit,perant,S6,7.103
dyad11,elicit,perant,S7,4.427
dyad11,elicit,perant,S8,7.642
dyad11,elicit,perant,S9,1.346
dyad11,elicit,perant,S10,8.27
dyad11,elicit,perant,S11,8.879
dyad11,elicit,perant,S12,9.358
dyad11,elicit,perant,S13,9.303
dyad11,elicit,perant,S14,9.734
dyad11,elicit,perant,S15,5.768
dyad11,elicit,perant,S16,7.499
dyad11,elicit,perant,S17,6.353
dyad11,elicit,perant,S18,4.684
dyad11,free,baby,S1,4.079
dyad11,free,baby,S2,9.288
dyad11,free,baby,S3,3.528
dyad11,free,baby,S4,7.964
dyad11,free,baby,S5,9.757
dyad11,free,baby,S6,8.256
dyad11,free,baby,S7,7.931
dyad11,free,baby,S8,9.092
dyad11,free,baby,S9,8.971
dyad11,free,baby,S10,9.089
dyad11,free,baby,S11,8.947
dyad11,free,baby,S12,5.246
dyad11,free,baby,S13,7.261
dyad11,free,baby,S14,9.016
dyad11,free,baby,S15,5.201
dyad11,free,baby,S16,6.267
dyad11,free,baby,S17,6.72
dyad11,free,baby,S18,7.471
dyad11,free,perant,S1,4.957
dyad11,free,perant,S2,7.156
dyad11,free,perant,S3,7.748
dyad11,free,perant,S4,7.775
dyad11,free,perant,S5,4.977
dyad11,free,perant,S6,7.86
dyad11,free,perant,S7,6.434
dyad11,free,perant,S8,7.201
dyad11,free,perant,S9,5.621
dyad11,free,perant,S10,5.016
dyad11,free,perant,S11,6.129
dyad11,free,perant,S12,6.504
dyad11,free,perant,S13,7.821
dyad11,free,perant,S14,7.197
dyad11,free,perant,S15,7.072
dyad11,free,perant,S16,7.035
dyad11,free,perant,S17,5.508
dyad11,free,perant,S18,7.071
dyad11,instruct,baby,S1,5.428
dyad11,instruct,baby,S2,4.87
dyad11,instruct,baby,S3,4.653
dyad11,instruct,baby,S4,5.078
dyad11,instruct,baby,S5,3.342
dyad11,instruct,baby,S6,4.198
dyad11,instruct,baby,S7,5.045
dyad11,instruct,baby,S8,5.117
dyad11,instruct,baby,S9,4.96
dyad11,instruct,baby,S10,4.837
dyad11,instruct,baby,S11,4.981
dyad11,instruct,baby,S12,6.131
dyad11,instruct,baby,S13,6.292
dyad11,instruct,baby,S14,6.533
dyad11,instruct,baby,S15,5.757
dyad11,instruct,baby,S16,4.941
dyad11,instruct,baby,S17,4.203
dyad11,instruct,baby,S18,2.739
dyad11,instruct,perant,S1,11.516
dyad11,instruct,perant,S2,9.48
dyad11,instruct,perant,S3,9.951
dyad11,instruct,perant,S4,8.393
dyad11,instruct,perant,S5,10.242
dyad11,instruct,perant,S6,10.796
dyad11,instruct,perant,S7,7.756
dyad11,instruct,perant,S8,11.391
dyad11,instruct,perant,S9,8.086
dyad11,instruct,perant,S10,8.698
dyad11,instruct,perant,S11,7.971
dyad11,instruct,perant,S12,7.774
dyad11,instruct,perant,S13,10.757
dyad11,instruct,perant,S14,10.384
dyad11,instruct,perant,S15,9.991
dyad11,instruct,perant,S16,11.116
dyad11,instruct,perant,S17,10.81
dyad11,instruct,perant,S18,9.814
dyad13,elicit,baby,S1,3.067
dyad13,elicit,baby,S2,3.814
dyad13,elicit,baby,S3,4.675
dyad13,elicit,baby,S4,7.243
dyad13,elicit,baby,S5,5.538
dyad13,elicit,baby,S6,4.954
dyad13,elicit,baby,S7,3.185
dyad13,elicit,baby,S8,6.325
dyad13,elicit,baby,S9,5.514
dyad13,elicit,baby,S10,4.026
dyad13,elicit,baby,S11,4.982
dyad13,elicit,baby,S12,5.363
dyad13,elicit,baby,S13,4.77
dyad13,elicit,baby,S14,3.707
dyad13,elicit,baby,S15,4.891
dyad13,elicit,baby,S16,3.008
dyad13,elicit,baby,S17,7.268
dyad13,elicit,baby,S18,4.408
dyad13,elicit,perant,S1,9.251
dyad13,elicit,perant,S2,6.175
dyad13,elicit,perant,S3,7.865
dyad13,elicit,perant,S4,9.594
dyad13,elicit,perant,S5,5.916
dyad13,elicit,perant,S6,6.145
dyad13,elicit,perant,S7,6.659
dyad13,elicit,perant,S8,8.926
dyad13,elicit,perant,S9,6.49
dyad13,elicit,perant,S10,1.345
dyad13,elicit,perant,S11,8.691
dyad13,elicit,perant,S12,7.946
dyad13,elicit,perant,S13,7.175
dyad13,elicit,perant,S14,6.857
dyad13,elicit,perant,S15,7.934
dyad13,elicit,perant,S16,1.499
dyad13,elicit,perant,S17,8.536
dyad13,elicit,perant,S18,8.61
dyad13,free,baby,S1,5.814
dyad13,free,baby,S2,7.563
dyad13,free,baby,S3,4.548
dyad13,free,baby,S4,5.456
dyad13,free,baby,S5,2.536
dyad13,free,baby,S6,7.204
dyad13,free,baby,S7,2.95
dyad13,free,baby,S8,6.07
dyad13,free,baby,S9,5.363
dyad13,free,baby,S10,5.483
dyad13,free,baby,S11,4.248
dyad13,free,baby,S12,6.519
dyad13,free,baby,S13,3.89
dyad13,free,baby,S14,5.134
dyad13,free,baby,S15,4.973
dyad13,free,baby,S16,4.114
dyad13,free,baby,S17,1.976
dyad13,free,baby,S18,5.697
dyad13,free,perant,S1,6.213
dyad13,free,perant,S2,5.011
dyad13,free,perant,S3,4.613
dyad13,free,perant,S4,4.249
dyad13,free,perant,S5,5.159
dyad13,free,perant,S6,4.442
dyad13,free,perant,S7,4.295
dyad13,free,perant,S8,5.514
dyad13,free,perant,S9,4.733
dyad13,free,perant,S10,5.994
dyad13,free,perant,S11,7.076
dyad13,free,perant,S12,5.698
dyad13,free,perant,S13,7.955
dyad13,free,perant,S14,7.105
dyad13,free,perant,S15,7.23
dyad13,free,perant,S16,3.701
dyad13,free,perant,S17,6.567
dyad13,free,perant,S18,7.006
dyad13,instruct,baby,S1,3.924
dyad13,instruct,baby,S2,4.832
dyad13,instruct,baby,S3,4.549
dyad13,instruct,baby,S4,8.048
dyad13,instruct,baby,S5,6.907
dyad13,instruct,baby,S6,7.798
dyad13,instruct,baby,S7,5.893
dyad13,instruct,baby,S8,5.438
dyad13,instruct,baby,S9,7.523
dyad13,instruct,baby,S10,2.77
dyad13,instruct,baby,S11,5.154
dyad13,instruct,baby,S12,4.967
dyad13,instruct,baby,S13,8.274
dyad13,instruct,baby,S14,3.541
dyad13,instruct,baby,S15,5.059
dyad13,instruct,baby,S16,4.684
dyad13,instruct,baby,S17,7.495
dyad13,instruct,baby,S18,6.523
dyad13,instruct,perant,S1,7.061
dyad13,instruct,perant,S2,4.869
dyad13,instruct,perant,S3,6.213
dyad13,instruct,perant,S4,4.742
dyad13,instruct,perant,S5,6.28
dyad13,instruct,perant,S6,5.521
dyad13,instruct,perant,S7,5.954
dyad13,instruct,perant,S8,6.893
dyad13,instruct,perant,S9,5.961
dyad13,instruct,perant,S10,3.91
dyad13,instruct,perant,S11,5.159
dyad13,instruct,perant,S12,6.193
dyad13,instruct,perant,S13,5.996
dyad13,instruct,perant,S14,6.963
dyad13,instruct,perant,S15,7.128
dyad13,instruct,perant,S16,7.456
dyad13,instruct,perant,S17,7.09
dyad13,instruct,perant,S18,7.662
dyad19,elicit,baby,S1,4.611
dyad19,elicit,baby,S2,4.916
dyad19,elicit,baby,S3,4.604
dyad19,elicit,baby,S4,2.924
dyad19,elicit,baby,S5,3.975
dyad19,elicit,baby,S6,3.429
dyad19,elicit,baby,S7,3.367
dyad19,elicit,baby,S8,4.487
dyad19,elicit,baby,S9,3.266
dyad19,elicit,baby,S10,5.055
dyad19,elicit,baby,S11,4.021
dyad19,elicit,baby,S12,4.377
dyad19,elicit,baby,S13,4.479
dyad19,elicit,baby,S14,1.454
dyad19,elicit,baby,S15,4.72
dyad19,elicit,baby,S16,1.308
dyad19,elicit,baby,S17,2.417
dyad19,elicit,baby,S18,2.9
dyad19,elicit,perant,S1,2.316
dyad19,elicit,perant,S2,2.509
dyad19,elicit,perant,S3,7.763
dyad19,elicit,perant,S4,4.258
dyad19,elicit,perant,S5,9.038
dyad19,elicit,perant,S6,9.03
dyad19,elicit,perant,S7,4.108
dyad19,elicit,perant,S8,7.457
dyad19,elicit,perant,S9,7.391
dyad19,elicit,perant,S10,4.417
dyad19,elicit,perant,S11,8.183
dyad19,elicit,perant,S12,8.468
dyad19,elicit,perant,S13,6.741
dyad19,elicit,perant,S14,8.547
dyad19,elicit,perant,S15,10.084
dyad19,elicit,perant,S16,9.785
dyad19,elicit,perant,S17,8.448
dyad19,elicit,perant,S18,7.904
dyad19,free,baby,S1,5.0
dyad19,free,baby,S2,4.857
dyad19,free,baby,S3,4.015
dyad19,free,baby,S4,3.907
dyad19,free,baby,S5,1.839
dyad19,free,baby,S6,3.964
dyad19,free,baby,S7,5.158
dyad19,free,baby,S8,4.481
dyad19,free,baby,S9,6.25
dyad19,free,baby,S10,5.21
dyad19,free,baby,S11,4.043
dyad19,free,baby,S12,4.893
dyad19,free,baby,S13,4.487
dyad19,free,baby,S14,3.647
dyad19,free,baby,S15,2.405
dyad19,free,baby,S16,2.334
dyad19,free,baby,S17,4.41
dyad19,free,baby,S18,2.086
dyad19,free,perant,S1,6.316
dyad19,free,perant,S2,2.19
dyad19,free,perant,S3,5.576
dyad19,free,perant,S4,3.171
dyad19,free,perant,S5,4.357
dyad19,free,perant,S6,4.926
dyad19,free,perant,S7,3.598
dyad19,free,perant,S8,2.114
dyad19,free,perant,S9,2.51
dyad19,free,perant,S10,6.398
dyad19,free,perant,S11,8.353
dyad19,free,perant,S12,6.677
dyad19,free,perant,S13,6.325
dyad19,free,perant,S14,7.325
dyad19,free,perant,S15,8.253
dyad19,free,perant,S16,8.799
dyad19,free,perant,S17,7.591
dyad19,free,perant,S18,7.705
dyad19,instruct,baby,S1,4.583
dyad19,instruct,baby,S2,5.395
dyad19,instruct,baby,S3,5.982
dyad19,instruct,baby,S4,4.774
dyad19,instruct,baby,S5,1.733
dyad19,instruct,baby,S6,6.341
dyad19,instruct,baby,S7,6.548
dyad19,instruct,baby,S8,3.639
dyad19,instruct,baby,S9,7.136
dyad19,instruct,baby,S10,4.77
dyad19,instruct,baby,S11,6.013
dyad19,instruct,baby,S12,7.182
dyad19,instruct,baby,S13,4.85
dyad19,instruct,baby,S14,5.58
dyad19,instruct,baby,S15,5.618
dyad19,instruct,baby,S16,5.306
dyad19,instruct,baby,S17,6.438
dyad19,instruct,baby,S18,2.012
dyad19,instruct,perant,S1,2.44
dyad19,instruct,perant,S2,2.753
dyad19,instruct,perant,S3,7.067
dyad19,instruct,perant,S4,3.226
dyad19,instruct,perant,S5,7.053
dyad19,instruct,perant,S6,5.708
dyad19,instruct,perant,S7,8.453
dyad19,instruct,perant,S8,6.28
dyad19,instruct,perant,S9,6.123
dyad19,instruct,perant,S10,4.914
dyad19,instruct,perant,S11,5.157
dyad19,instruct,perant,S12,3.449
dyad19,instruct,perant,S13,4.045
dyad19,instruct,perant,S14,5.101
dyad19,instruct,perant,S15,7.622
dyad19,instruct,perant,S16,7.936
dyad19,instruct,perant,S17,5.409
dyad19,instruct,perant,S18,6.563
dyad21,elicit,baby,S1,5.832
dyad21,elicit,baby,S2,7.851
dyad21,elicit,baby,S3,5.487
dyad21,elicit,baby,S4,6.058
dyad21,elicit,baby,S5,5.267
dyad21,elicit,baby,S6,5.579
dyad21,elicit,baby,S7,5.824
dyad21,elicit,baby,S8,6.147
dyad21,elicit,baby,S9,6.639
dyad21,elicit,baby,S10,6.138
dyad21,elicit,baby,S11,6.528
dyad21,elicit,baby,S12,6.615
dyad21,elicit,baby,S13,7.214
dyad21,elicit,baby,S14,4.016
dyad21,elicit,baby,S15,3.641
dyad21,elicit,baby,S16,4.649
dyad21,elicit,baby,S17,5.92
dyad21,elicit,baby,S18,5.99
dyad21,elicit,perant,S1,3.454
dyad21,elicit,perant,S2,3.629
dyad21,elicit,perant,S3,3.352
dyad21,elicit,perant,S4,2.395
dyad21,elicit,perant,S5,1.307
dyad21,elicit,perant,S6,1.0
dyad21,elicit,perant,S7,1.0
dyad21,elicit,perant,S8,1.0
dyad21,elicit,perant,S9,1.0
dyad21,elicit,perant,S10,1.348
dyad21,elicit,perant,S11,1.0
dyad21,elicit,perant,S12,2.473
dyad21,elicit,perant,S13,1.0
dyad21,elicit,perant,S14,1.0
dyad21,elicit,perant,S15,1.0
dyad21,elicit,perant,S16,1.0
dyad21,elicit,perant,S17,1.0
dyad21,elicit,perant,S18,1.0
dyad21,free,baby,S1,6.148
dyad21,free,baby,S2,9.731
dyad21,free,baby,S3,8.831
dyad21,free,baby,S4,8.036
dyad21,free,baby,S5,7.458
dyad21,free,baby,S6,6.473
dyad21,free,baby,S7,6.898
dyad21,free,baby,S8,10.636
dyad21,free,baby,S9,8.963
dyad21,free,baby,S10,7.843
dyad21,free,baby,S11,7.807
dyad21,free,baby,S12,7.055
dyad21,free,baby,S13,7.992
dyad21,free,baby,S14,7.091
dyad21,free,baby,S15,3.982
dyad21,free,baby,S16,6.207
dyad21,free,baby,S17,7.274
dyad21,free,baby,S18,7.365
dyad21,free,perant,S1,4.006
dyad21,free,perant,S2,3.804
dyad21,free,perant,S3,2.596
dyad21,free,perant,S4,3.663
dyad21,free,perant,S5,1.0
dyad21,free,perant,S6,1.0
dyad21,free,perant,S7,1.0
dyad21,free,perant,S8,1.0
dyad21,free,perant,S9,1.0
dyad21,free,perant,S10,2.899
dyad21,free,perant,S11,2.039
dyad21,free,perant,S12,1.403
dyad21,free,perant,S13,1.0
dyad21,free,perant,S14,1.0
dyad21,free,perant,S15,1.0
dyad21,free,perant,S16,1.0
dyad21,free,perant,S17,1.0
dyad21,free,perant,S18,1.0
dyad21,instruct,baby,S1,5.381
dyad21,instruct,baby,S2,7.694
dyad21,instruct,baby,S3,8.201
dyad21,instruct,baby,S4,7.431
dyad21,instruct,baby,S5,7.781
dyad21,instruct,baby,S6,4.929
dyad21,instruct,baby,S7,4.403
dyad21,instruct,baby,S8,8.284
dyad21,instruct,baby,S9,6.033
dyad21,instruct,baby,S10,6.24
dyad21,instruct,baby,S11,7.442
dyad21,instruct,baby,S12,6.428
dyad21,instruct,baby,S13,6.315
dyad21,instruct,baby,S14,6.211
dyad21,instruct,baby,S15,3.599
dyad21,instruct,baby,S16,4.778
dyad21,instruct,baby,S17,7.303
dyad21,instruct,baby,S18,6.498
dyad21,instruct,perant,S1,2.792
dyad21,instruct,perant,S2,2.933
dyad21,instruct,perant,S3,2.528
dyad21,instruct,perant,S4,1.981
dyad21,instruct,perant,S5,1.0
dyad21,instruct,perant,S6,1.0
dyad21,instruct,perant,S7,1.0
dyad21,instruct,perant,S8,1.0
dyad21,instruct,perant,S9,1.0
dyad21,instruct,perant,S10,1.33
dyad21,instruct,perant,S11,1.0
dyad21,instruct,perant,S12,1.0
dyad21,instruct,perant,S13,1.0
dyad21,instruct,perant,S14,1.0
dyad21,instruct,perant,S15,1.0
dyad21,instruct,perant,S16,1.0
dyad21,instruct,perant,S17,1.0
dyad21,instruct,perant,S18,1.0
dyad22,elicit,baby,S1,6.876
dyad22,elicit,baby,S2,6.21
dyad22,elicit,baby,S3,4.905
dyad22,elicit,baby,S4,5.947
dyad22,elicit,baby,S5,3.436
dyad22,elicit,baby,S6,5.548
dyad22,elicit,baby,S7,5.424
dyad22,elicit,baby,S8,6.678
dyad22,elicit,baby,S9,1.806
dyad22,elicit,baby,S10,7.356
dyad22,elicit,baby,S11,4.05
dyad22,elicit,baby,S12,7.208
dyad22,elicit,baby,S13,4.051
dyad22,elicit,baby,S14,6.21
dyad22,elicit,baby,S15,5.334
dyad22,elicit,baby,S16,7.229
dyad22,elicit,baby,S17,5.756
dyad22,elicit,baby,S18,7.451
dyad22,elicit,perant,S1,5.512
dyad22,elicit,perant,S2,1.395
dyad22,elicit,perant,S3,1.0
dyad22,elicit,perant,S4,1.0
dyad22,elicit,perant,S5,1.0
dyad22,elicit,perant,S6,2.588
dyad22,elicit,perant,S7,1.984
dyad22,elicit,perant,S8,6.153
dyad22,elicit,perant,S9,2.27
dyad22,elicit,perant,S10,5.731
dyad22,elicit,perant,S11,6.262
dyad22,elicit,perant,S12,5.251
dyad22,elicit,perant,S13,4.958
dyad22,elicit,perant,S14,4.518
dyad22,elicit,perant,S15,6.641
dyad22,elicit,perant,S16,6.233
dyad22,elicit,perant,S17,1.0
dyad22,elicit,perant,S18,4.063
dyad22,free,baby,S1,7.228
dyad22,free,baby,S2,4.827
dyad22,free,baby,S3,6.564
dyad22,free,baby,S4,5.837
dyad22,free,baby,S5,4.147
dyad22,free,baby,S6,5.962
dyad22,free,baby,S7,5.394
dyad22,free,baby,S8,7.446
dyad22,free,baby,S9,4.706
dyad22,free,baby,S10,4.59
dyad22,free,baby,S11,3.686
dyad22,free,baby,S12,4.354
dyad22,free,baby,S13,3.363
dyad22,free,baby,S14,7.217
dyad22,free,baby,S15,5.906
dyad22,free,baby,S16,5.01
dyad22,free,baby,S17,5.018
dyad22,free,baby,S18,6.157
dyad22,free,perant,S1,5.547
dyad22,free,perant,S2,1.3
dyad22,free,perant,S3,1.0
dyad22,free,perant,S4,1.0
dyad22,free,perant,S5,1.0
dyad22,free,perant,S6,1.571
dyad22,free,perant,S7,2.044
dyad22,free,perant,S8,6.555
dyad22,free,perant,S9,1.923
dyad22,free,perant,S10,5.355
dyad22,free,perant,S11,6.958
dyad22,free,perant,S12,6.278
dyad22,free,perant,S13,5.147
dyad22,free,perant,S14,6.07
dyad22,free,perant,S15,7.161
dyad22,free,perant,S16,6.668
dyad22,free,perant,S17,1.0
dyad22,free,perant,S18,4.879
dyad22,instruct,baby,S1,6.156
dyad22,instruct,baby,S2,5.074
dyad22,instruct,baby,S3,3.111
dyad22,instruct,baby,S4,4.071
dyad22,instruct,baby,S5,4.613
dyad22,instruct,baby,S6,3.822
dyad22,instruct,baby,S7,5.675
dyad22,instruct,baby,S8,6.532
dyad22,instruct,baby,S9,2.668
dyad22,instruct,baby,S10,8.179
dyad22,instruct,baby,S11,1.824
dyad22,instruct,baby,S12,8.233
dyad22,instruct,baby,S13,5.429
dyad22,instruct,baby,S14,8.049
dyad22,instruct,baby,S15,7.91
dyad22,instruct,baby,S16,6.353
dyad22,instruct,baby,S17,5.508
dyad22,instruct,baby,S18,7.385
dyad22,instruct,perant,S1,4.463
dyad22,instruct,perant,S2,4.019
dyad22,instruct,perant,S3,1.0
dyad22,instruct,perant,S4,1.0
dyad22,instruct,perant,S5,1.0
dyad22,instruct,perant,S6,3.411
dyad22,instruct,perant,S7,1.421
dyad22,instruct,perant,S8,6.33
dyad22,instruct,perant,S9,1.0
dyad22,instruct,perant,S10,4.524
dyad22,instruct,perant,S11,7.13
dyad22,instruct,perant,S12,6.987
dyad22,instruct,perant,S13,5.684
dyad22,instruct,perant,S14,6.761
dyad22,instruct,perant,S15,6.914
dyad22,instruct,perant,S16,6.97
dyad22,instruct,perant,S17,1.0
dyad22,instruct,perant,S18,6.106
dyad24,elicit,baby,S1,4.004
dyad24,elicit,baby,S2,1.335
dyad24,elicit,baby,S3,4.06
dyad24,elicit,baby,S4,4.08
dyad24,elicit,baby,S5,4.576
dyad24,elicit,baby,S6,5.163
dyad24,elicit,baby,S7,5.043
dyad24,elicit,baby,S8,5.585
dyad24,elicit,baby,S9,4.684
dyad24,elicit,baby,S10,3.902
dyad24,elicit,baby,S11,4.293
dyad24,elicit,baby,S12,4.55
dyad24,elicit,baby,S13,4.015
dyad24,elicit,baby,S14,4.091
dyad24,elicit,baby,S15,2.819
dyad24,elicit,baby,S16,3.331
dyad24,elicit,baby,S17,2.596
dyad24,elicit,baby,S18,3.907
dyad24,elicit,perant,S1,9.081
dyad24,elicit,perant,S2,9.317
dyad24,elicit,perant,S3,8.751
dyad24,elicit,perant,S4,9.361
dyad24,elicit,perant,S5,4.924
dyad24,elicit,perant,S6,6.363
dyad24,elicit,perant,S7,5.694
dyad24,elicit,perant,S8,8.976
dyad24,elicit,perant,S9,7.949
dyad24,elicit,perant,S10,9.387
dyad24,elicit,perant,S11,8.868
dyad24,elicit,perant,S12,8.653
dyad24,elicit,perant,S13,10.483
dyad24,elicit,perant,S14,11.047
dyad24,elicit,perant,S15,9.038
dyad24,elicit,perant,S16,3.658
dyad24,elicit,perant,S17,9.022
dyad24,elicit,perant,S18,8.979
dyad24,free,baby,S1,5.75
dyad24,free,baby,S2,2.659
dyad24,free,baby,S3,5.596
dyad24,free,baby,S4,5.256
dyad24,free,baby,S5,5.147
dyad24,free,baby,S6,6.338
dyad24,free,baby,S7,4.988
dyad24,free,baby,S8,4.962
dyad24,free,baby,S9,5.998
dyad24,free,baby,S10,6.729
dyad24,free,baby,S11,4.545
dyad24,free,baby,S12,4.955
dyad24,free,baby,S13,4.236
dyad24,free,baby,S14,6.15
dyad24,free,baby,S15,6.625
dyad24,free,baby,S16,4.257
dyad24,free,baby,S17,7.97
dyad24,free,baby,S18,3.432
dyad24,free,perant,S1,10.977
dyad24,free,perant,S2,9.62
dyad24,free,perant,S3,10.47
dyad24,free,perant,S4,11.173
dyad24,free,perant,S5,7.644
dyad24,free,perant,S6,5.113
dyad24,free,perant,S7,9.831
dyad24,free,perant,S8,10.719
dyad24,free,perant,S9,9.934
dyad24,free,perant,S10,10.946
dyad24,free,perant,S11,8.159
dyad24,free,perant,S12,9.877
dyad24,free,perant,S13,11.424
dyad24,free,perant,S14,11.333
dyad24,free,perant,S15,8.251
dyad24,free,perant,S16,3.112
dyad24,free,perant,S17,11.111
dyad24,free,perant,S18,9.083
dyad24,instruct,baby,S1,4.264
dyad24,instruct,baby,S2,1.0
dyad24,instruct,baby,S3,5.121
dyad24,instruct,baby,S4,6.108
dyad24,instruct,baby,S5,5.735
dyad24,instruct,baby,S6,5.742
dyad24,instruct,baby,S7,6.78
dyad24,instruct,baby,S8,6.696
dyad24,instruct,baby,S9,8.43
dyad24,instruct,baby,S10,5.792
dyad24,instruct,baby,S11,5.028
dyad24,instruct,baby,S12,4.237
dyad24,instruct,baby,S13,5.169
dyad24,instruct,baby,S14,5.593
dyad24,instruct,baby,S15,5.055
dyad24,instruct,baby,S16,6.595
dyad24,instruct,baby,S17,5.04
dyad24,instruct,baby,S18,4.871
dyad24,instruct,perant,S1,5.059
dyad24,instruct,perant,S2,6.764
dyad24,instruct,perant,S3,4.845
dyad24,instruct,perant,S4,5.78
dyad24,instruct,perant,S5,3.051
dyad24,instruct,perant,S6,3.713
dyad24,instruct,perant,S7,6.707
dyad24,instruct,perant,S8,5.445
dyad24,instruct,perant,S9,6.505
dyad24,instruct,perant,S10,6.661
dyad24,instruct,perant,S11,5.841
dyad24,instruct,perant,S12,6.302
dyad24,instruct,perant,S13,8.729
dyad24,instruct,perant,S14,7.331
dyad24,instruct,perant,S15,5.769
dyad24,instruct,perant,S16,3.065
dyad24,instruct,perant,S17,7.268
dyad24,instruct,perant,S18,4.651
dyad25,elicit,baby,S1,6.761
dyad25,elicit,baby,S2,6.07
dyad25,elicit,baby,S3,3.904
dyad25,elicit,baby,S4,6.6
dyad25,elicit,baby,S5,5.568
dyad25,elicit,baby,S6,7.839
dyad25,elicit,baby,S7,4.05
dyad25,elicit,baby,S8,6.728
dyad25,elicit,baby,S9,4.307
dyad25,elicit,baby,S10,4.442
dyad25,elicit,baby,S11,6.348
dyad25,elicit,baby,S12,6.758
dyad25,elicit,baby,S13,6.185
dyad25,elicit,baby,S14,6.739
dyad25,elicit,baby,S15,5.687
dyad25,elicit,baby,S16,6.04
dyad25,elicit,baby,S17,8.364
dyad25,elicit,baby,S18,8.38
dyad25,elicit,perant,S1,5.289
dyad25,elicit,perant,S2,1.71
dyad25,elicit,perant,S3,5.108
dyad25,elicit,perant,S4,3.822
dyad25,elicit,perant,S5,5.037
dyad25,elicit,perant,S6,7.415
dyad25,elicit,perant,S7,6.145
dyad25,elicit,perant,S8,6.594
dyad25,elicit,perant,S9,7.445
dyad25,elicit,perant,S10,3.115
dyad25,elicit,perant,S11,3.337
dyad25,elicit,perant,S12,5.941
dyad25,elicit,perant,S13,4.107
dyad25,elicit,perant,S14,5.921
